Wall time,Step,Value
1715642280.5033772,1,0.863699734210968
1715642292.9275677,2,0.6757817268371582
1715642305.4026196,3,0.4427717626094818
1715642317.8218358,4,0.3110928237438202
1715642330.2737308,5,0.2458188682794571
1715642342.7374647,6,0.14009477198123932
1715642355.165854,7,0.041763074696063995
1715642367.6253195,8,0.03563990071415901
1715642380.0753171,9,0.07902570068836212
1715642392.5322142,10,0.04921270161867142
1715642404.9945943,11,0.027496222406625748
1715642417.4557135,12,0.29754722118377686
1715642429.8673005,13,0.09467366337776184
1715642442.3874855,14,0.09521646797657013
1715642454.8344908,15,0.04555455595254898
1715642467.3138716,16,0.05846894904971123
